Idaho,2009,131965,171302,939631,1,6,6,10.319,35.455,6.299
Illinois,2009,1053276,1460312,8097288,9,65,109,8.586,44.785,13.426
Indiana,2009,525525,701086,4047093,5,24,33,8.991,33.65,8.183
Iowa,2009,236022,350071,1908202,3,11,12,11.157,30.25,6.477
Kansas,2009,226545,330970,1730522,2,15,19,10.7,45.572,10.847
Kentucky,2009,334420,446645,2781361,4,17,25,10.498,37.064,8.904
Louisiana,2009,367519,527254,2756163,3,19,38,7.203,36.833,13.893
Maine,2009,96374,128182,903556,1,9,13,10.515,69.353,13.923
Maryland,2009,452038,616208,3653639,4,26,54,8.03,42.755,14.829
Massachusetts,2009,494016,766014,4324616,5,62,99,9.906,81.198,22.811
Michigan,2009,822105,1097830,6398696,7,50,81,8.635,45.406,12.691
Minnesota,2009,413410,583280,3372460,4,21,30,9.056,36.548,8.782
Mississippi,2009,248816,336097,1784646,2,11,25,6.103,34.022,14.286
Missouri,2009,476436,643637,3819620,4,29,50,9.207,45.796,13.011
Montana,2009,73735,110260,633252,1,6,8,10.31,57.553,12.542
